               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071579,             0.02466,            0.018617,             0.50697,              0.5549,             0.50312,             0.24302,            0.035103,           0.0084148,           0.0023212,            0.070303,           0.0032997,           0.0032997
                   1,            0.053583,             0.01483,           0.0033482,             0.56931,             0.69428,             0.63876,             0.29722,            0.029747,           0.0054451,           0.0015482,            0.039975,           0.0063047,           0.0063047
                   2,             0.04759,            0.011543,           0.0032085,              0.5889,             0.66313,             0.70533,             0.39711,            0.028427,           0.0060998,           0.0015373,           0.0093164,           0.0089797,           0.0089797
                   3,            0.042021,             0.01023,           0.0027472,             0.82844,             0.76855,             0.84814,             0.54741,            0.019011,           0.0047102,           0.0014602,            0.008515,            0.008515,            0.008515
                   4,            0.035327,            0.010118,           0.0020885,             0.86441,             0.81342,             0.88713,             0.61871,            0.016336,           0.0043649,           0.0011769,            0.008515,            0.008515,            0.008515
                   5,            0.032178,            0.009593,           0.0017169,             0.90689,             0.79525,             0.88908,             0.63355,            0.018583,           0.0041473,           0.0011635,             0.00802,             0.00802,             0.00802
                   6,            0.031059,           0.0096432,           0.0015636,             0.86921,             0.74939,             0.85465,             0.58377,            0.019177,           0.0043396,          0.00095037,            0.007525,            0.007525,            0.007525
                   7,            0.027696,           0.0088893,           0.0012469,             0.85413,             0.81663,             0.87915,              0.6269,            0.018111,           0.0041409,          0.00087902,             0.00703,             0.00703,             0.00703
                   8,            0.025654,           0.0087261,           0.0012189,             0.87644,             0.81009,             0.89372,             0.68802,            0.013607,           0.0041045,          0.00081107,            0.006535,            0.006535,            0.006535
                   9,             0.02484,           0.0084711,           0.0011272,             0.90762,              0.8368,             0.90728,             0.71256,            0.013529,           0.0038798,          0.00070381,             0.00604,             0.00604,             0.00604
                  10,            0.023553,           0.0085994,           0.0010033,             0.92545,             0.84725,             0.93629,             0.73651,            0.012754,           0.0035976,          0.00066398,            0.005545,            0.005545,            0.005545
                  11,            0.020638,           0.0080562,          0.00083497,             0.97789,             0.86647,             0.95866,              0.7722,            0.011226,           0.0033682,          0.00059122,             0.00505,             0.00505,             0.00505
                  12,            0.020668,           0.0078263,          0.00081914,             0.81973,             0.89054,             0.91513,             0.73483,            0.012536,           0.0038918,          0.00057348,            0.004555,            0.004555,            0.004555
                  13,            0.019367,            0.007815,          0.00083326,             0.87248,             0.83243,             0.90032,             0.74242,            0.012545,            0.003642,          0.00052191,             0.00406,             0.00406,             0.00406
                  14,            0.018365,           0.0073393,          0.00070117,             0.92556,             0.88544,             0.95605,             0.78515,            0.010739,           0.0032221,          0.00045587,            0.003565,            0.003565,            0.003565
                  15,            0.016747,            0.007211,          0.00062063,             0.93003,             0.90714,             0.94893,             0.79838,           0.0099937,           0.0034159,          0.00046402,             0.00307,             0.00307,             0.00307
                  16,            0.016278,           0.0069296,          0.00058294,             0.92923,              0.8961,              0.9469,              0.8069,           0.0097241,           0.0032752,          0.00037902,            0.002575,            0.002575,            0.002575
                  17,            0.015031,           0.0068913,          0.00050209,             0.92083,             0.91098,             0.95497,              0.8326,           0.0093544,           0.0030381,          0.00034419,             0.00208,             0.00208,             0.00208
                  18,             0.01418,           0.0067634,           0.0004317,             0.94007,             0.88131,             0.95382,             0.81072,           0.0090265,           0.0031694,          0.00029488,            0.001585,            0.001585,            0.001585
                  19,            0.013309,           0.0066713,          0.00035107,             0.91862,             0.91395,             0.96055,              0.8372,           0.0082703,           0.0030883,           0.0002558,             0.00109,             0.00109,             0.00109
