               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070443,            0.025175,                   0,             0.54959,             0.67656,             0.59682,             0.28485,            0.026602,           0.0080232,                   0,            0.070303,           0.0032997,           0.0032997
                   1,            0.047903,            0.016748,                   0,             0.55626,             0.69189,             0.60536,               0.271,            0.028612,           0.0058297,                   0,            0.040084,           0.0064141,           0.0064141
                   2,            0.040882,            0.013239,                   0,             0.62938,             0.69436,              0.6325,             0.36395,            0.023664,           0.0060173,                   0,           0.0096453,           0.0093086,           0.0093086
                   3,            0.036599,            0.011646,                   0,             0.77865,             0.71217,             0.75773,             0.52009,            0.022359,           0.0058793,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.032083,            0.011495,                   0,              0.8611,             0.72997,             0.84039,              0.5153,            0.021526,            0.005252,                   0,             0.00901,             0.00901,             0.00901
                   5,             0.02937,            0.010903,                   0,             0.74901,             0.69436,             0.74254,             0.50028,            0.020389,           0.0058365,                   0,             0.00868,             0.00868,             0.00868
                   6,             0.02892,            0.010991,                   0,              0.8638,              0.7528,             0.86115,             0.59647,            0.016659,           0.0046681,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.025847,            0.009963,                   0,             0.85474,             0.81009,             0.87498,             0.62461,            0.015593,           0.0046534,                   0,             0.00802,             0.00802,             0.00802
                   8,             0.02487,            0.009753,                   0,             0.86293,             0.83383,             0.88483,              0.6649,            0.014211,           0.0044872,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.024473,           0.0095409,                   0,             0.84083,             0.80119,             0.87366,             0.63474,            0.016749,           0.0048158,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.023266,           0.0096179,                   0,             0.90167,              0.8435,             0.92089,             0.71871,            0.012575,           0.0041341,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.020771,           0.0092322,                   0,             0.84627,              0.8724,             0.90038,             0.69257,             0.01283,           0.0044213,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.021428,           0.0087769,                   0,             0.93419,             0.84243,              0.9263,             0.73629,            0.012854,           0.0038607,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.019997,           0.0089444,                   0,              0.8954,              0.8724,             0.91118,             0.71999,            0.012613,            0.003998,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.019239,           0.0084093,                   0,             0.86633,             0.88463,             0.92909,             0.75004,            0.011767,            0.003757,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.018456,            0.008263,                   0,             0.93217,             0.85642,             0.93967,             0.76733,            0.011025,           0.0038361,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.017991,            0.007871,                   0,             0.90319,             0.81899,             0.92195,             0.76079,            0.011263,           0.0039968,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.017405,           0.0080182,                   0,             0.92239,             0.83383,             0.93195,             0.76219,             0.01164,           0.0037177,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.017295,           0.0080358,                   0,             0.89609,              0.8635,             0.93308,             0.77425,            0.011942,           0.0036515,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.015891,           0.0078918,                   0,             0.91442,             0.85605,             0.93556,             0.77223,            0.010606,           0.0037542,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.015213,            0.007317,                   0,             0.89503,             0.89911,               0.943,             0.78852,           0.0098763,           0.0035919,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.016041,           0.0073935,                   0,             0.92173,             0.84273,             0.93373,             0.77905,            0.010524,            0.003704,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.014615,           0.0071308,                   0,             0.94167,              0.8724,             0.94838,             0.80055,            0.010023,           0.0035208,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.014476,           0.0071385,                   0,              0.9378,             0.89474,             0.95574,             0.81191,           0.0095784,           0.0033315,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.013527,           0.0067772,                   0,             0.93837,             0.90369,             0.95371,             0.81903,           0.0093704,           0.0033645,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.012973,           0.0069583,                   0,             0.94107,             0.88724,             0.95461,             0.81916,           0.0088815,           0.0033767,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.013084,           0.0065927,                   0,             0.94542,             0.87537,             0.94628,             0.82469,           0.0088807,           0.0035124,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.012384,           0.0067517,                   0,             0.92378,             0.90208,             0.95612,             0.83063,           0.0086826,           0.0034016,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.012588,           0.0065184,                   0,             0.92847,             0.90208,             0.95629,             0.82958,           0.0086683,           0.0034361,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.011788,           0.0064261,                   0,             0.92368,             0.91395,             0.95838,             0.82507,           0.0085235,           0.0033746,                   0,             0.00076,             0.00076,             0.00076
