               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083262,            0.026119,                   0,             0.41587,              0.5137,             0.44387,               0.199,            0.032418,            0.010739,                   0,            0.070303,           0.0032997,           0.0032997
                   1,            0.048063,             0.01815,                   0,             0.42507,             0.56211,             0.49316,             0.20924,            0.034567,           0.0063374,                   0,            0.040084,           0.0064141,           0.0064141
                   2,            0.042962,            0.015343,                   0,             0.50912,             0.64384,             0.58564,             0.33984,            0.032488,           0.0060646,                   0,           0.0096453,           0.0093086,           0.0093086
                   3,            0.039011,            0.014269,                   0,             0.69003,             0.70548,             0.74479,             0.41319,            0.023419,           0.0056046,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.034296,            0.013585,                   0,             0.78833,             0.63699,             0.74982,             0.43521,            0.024893,           0.0066931,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.031309,            0.013307,                   0,             0.82996,             0.71875,             0.82817,             0.54962,            0.018955,           0.0058815,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.029782,            0.012766,                   0,             0.78277,             0.68493,             0.76739,             0.47331,            0.021141,           0.0069515,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.029626,            0.012859,                   0,              0.8128,             0.88699,             0.91909,             0.64784,            0.014237,            0.005163,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.027327,            0.011657,                   0,             0.91507,             0.91096,             0.96851,             0.70133,            0.015179,           0.0048253,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.025549,            0.011764,                   0,             0.93388,             0.89041,              0.9541,             0.68134,            0.013905,           0.0045871,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.024799,            0.011256,                   0,             0.89007,             0.85958,             0.93092,             0.67912,            0.013668,           0.0047828,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.023057,            0.011143,                   0,             0.89331,             0.88356,             0.94714,             0.68349,            0.014088,           0.0044089,                   0,              0.0067,              0.0067,              0.0067
                  12,              0.0234,            0.011008,                   0,             0.91705,             0.95205,              0.9724,             0.75823,            0.010993,           0.0039468,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.023403,            0.010902,                   0,             0.92564,             0.92808,             0.96426,             0.74725,            0.011433,           0.0040911,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.022178,             0.01051,                   0,               0.933,             0.93493,             0.97201,             0.76981,            0.011289,            0.003865,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.020812,            0.010255,                   0,             0.94583,             0.94178,             0.97452,             0.78582,           0.0099285,           0.0037287,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.020714,            0.010151,                   0,             0.95029,             0.96233,             0.98232,             0.79325,           0.0097355,           0.0038022,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.019542,            0.010322,                   0,             0.96547,              0.9589,             0.97972,             0.80106,           0.0095683,           0.0035499,                   0,             0.00472,             0.00472,             0.00472
                  18,             0.01882,             0.01011,                   0,             0.94981,             0.97603,             0.98342,             0.80281,           0.0095663,           0.0035107,                   0,             0.00439,             0.00439,             0.00439
                  19,             0.01909,           0.0099352,                   0,             0.96846,              0.9589,             0.98068,             0.81376,            0.009302,            0.003508,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.018009,           0.0094948,                   0,             0.94794,             0.97603,             0.98868,             0.81797,           0.0088508,           0.0033861,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.016795,           0.0092827,                   0,              0.9595,             0.94178,             0.97838,             0.81573,           0.0091325,           0.0034994,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.016287,           0.0093093,                   0,             0.96544,             0.95671,             0.98295,             0.82437,           0.0087365,           0.0032928,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.016215,           0.0087815,                   0,             0.98442,              0.9589,             0.98425,             0.83292,            0.008134,           0.0032692,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.016479,           0.0093433,                   0,             0.94858,             0.97945,             0.98696,             0.83968,           0.0081857,           0.0032889,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.015054,           0.0088749,                   0,             0.97259,             0.96575,             0.98907,             0.85113,           0.0078392,           0.0030836,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.015292,           0.0085953,                   0,             0.97908,             0.96165,              0.9867,             0.85621,           0.0076143,           0.0031274,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.015268,           0.0086117,                   0,             0.97129,             0.97603,             0.98869,             0.85048,           0.0076634,            0.003137,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.014568,           0.0088038,                   0,             0.98315,             0.96233,             0.98936,             0.85708,           0.0075114,           0.0029809,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.014862,           0.0086769,                   0,             0.98204,             0.97945,             0.98971,             0.86376,           0.0073871,           0.0029319,                   0,             0.00076,             0.00076,             0.00076
