               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069386,            0.024267,                   0,             0.66711,             0.66172,             0.71859,             0.42541,            0.030603,           0.0067452,                   0,            0.070248,           0.0033058,           0.0033058
                   1,            0.044039,            0.015983,                   0,             0.82793,             0.74184,             0.82487,             0.49049,            0.019744,           0.0054655,                   0,            0.040029,             0.00642,             0.00642
                   2,            0.038951,            0.013163,                   0,             0.63497,             0.67062,             0.65071,             0.40495,            0.024755,            0.005997,                   0,           0.0095898,           0.0093143,           0.0093143
                   3,            0.034612,            0.012041,                   0,             0.96366,             0.86551,             0.95445,             0.66682,            0.016895,           0.0045061,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.033333,            0.011773,                   0,              0.9205,             0.90208,             0.93644,             0.66617,            0.015077,           0.0045616,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.029898,            0.011707,                   0,             0.87823,             0.81328,             0.91123,             0.64814,            0.015902,           0.0048625,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.026856,            0.010959,                   0,             0.89866,             0.84209,             0.92699,             0.63066,            0.015521,           0.0047219,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.027112,            0.011004,                   0,             0.90564,             0.91988,              0.9514,             0.71413,            0.013351,           0.0041174,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.025336,            0.010463,                   0,             0.90419,             0.89614,             0.94518,             0.74549,            0.011784,           0.0042274,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.023971,            0.010511,                   0,             0.88908,             0.89021,             0.94864,              0.7046,            0.013052,           0.0042587,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.022633,            0.010204,                   0,             0.94995,             0.95846,             0.97683,             0.80417,            0.010594,           0.0034199,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.022264,           0.0097338,                   0,             0.97858,             0.94905,             0.98804,             0.82402,            0.009601,           0.0032642,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.020585,           0.0094586,                   0,             0.97291,              0.9591,             0.98698,              0.8041,            0.010447,            0.003206,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.019143,            0.009239,                   0,             0.96945,             0.94176,             0.97527,             0.80545,           0.0097483,           0.0033312,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.019573,           0.0091938,                   0,               0.979,             0.96822,             0.98354,              0.8145,           0.0098932,           0.0031178,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.019239,           0.0091905,                   0,             0.95363,             0.91542,             0.97759,             0.81911,           0.0093899,           0.0032699,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.019013,            0.008932,                   0,             0.98204,             0.97368,              0.9907,             0.83811,           0.0084738,           0.0029266,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.018204,           0.0083645,                   0,             0.97912,             0.97395,             0.99124,             0.84419,            0.008702,           0.0029017,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.016868,           0.0086901,                   0,             0.98805,             0.98151,             0.99265,             0.85631,           0.0082093,           0.0026828,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.017283,           0.0082453,                   0,              0.9599,             0.95549,             0.97794,             0.82751,           0.0085521,           0.0029978,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.016268,           0.0082129,                   0,             0.99101,             0.98126,             0.99261,              0.8782,           0.0076096,           0.0025697,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.015531,           0.0082741,                   0,             0.98377,              0.9822,             0.99163,              0.8626,            0.007993,           0.0026791,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.015715,           0.0080477,                   0,             0.99362,             0.98813,             0.99249,             0.87992,            0.007694,           0.0025299,                   0,             0.00307,             0.00307,             0.00307
                  23,             0.01471,           0.0078184,                   0,             0.98809,             0.98813,             0.99122,             0.88905,           0.0071054,           0.0024344,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.014417,           0.0077403,                   0,             0.98854,              0.9911,              0.9932,             0.88731,           0.0071997,            0.002457,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.014585,           0.0077491,                   0,             0.99395,             0.97469,             0.98891,             0.88009,           0.0071282,           0.0026889,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.013416,           0.0075069,                   0,             0.98811,             0.98635,               0.993,              0.8938,           0.0067066,           0.0024164,                   0,             0.00175,             0.00175,             0.00175
                  27,             0.01339,           0.0074643,                   0,             0.98417,             0.98813,             0.99211,             0.89584,           0.0066422,           0.0024018,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.013012,           0.0073694,                   0,             0.98807,             0.98335,             0.99167,             0.89656,           0.0065493,           0.0024125,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.012523,           0.0073744,                   0,             0.99397,             0.97832,             0.99077,             0.89725,           0.0063837,           0.0023914,                   0,             0.00076,             0.00076,             0.00076
